Código Cliente,Ano,Trimestre,Mês,Dia,Loja,Produto,SKU,Tamanho Pedido
149,2016,Trim 1,janeiro,4,Nova Iguaçu,Smart TV 50' 4K,HL1001,4
554,2016,Trim 1,janeiro,4,Porto Alegre,Samsung Dual Core,HL1023,3
244,2016,Trim 1,janeiro,4,Recife,Inspiron 15,HL1007,1
342,2016,Trim 1,janeiro,4,Recife,Moto G7,HL1009,5
405,2016,Trim 1,janeiro,4,Rio de Janeiro,Moto G7,HL1009,3
279,2016,Trim 1,janeiro,4,Rio de Janeiro,Smart TV 50' 4K,HL1001,9
559,2016,Trim 1,janeiro,4,Salvador,Inspiron 15,HL1007,2
761,2016,Trim 1,janeiro,4,Salvador,iPhone XS,HL1019,5
446,2016,Trim 1,janeiro,4,São Paulo,Câmera Digital Rebel T6,HL1005,2
737,2016,Trim 1,janeiro,4,São Paulo,Dell G7,HL1012,2
461,2016,Trim 1,janeiro,4,São Paulo,Galaxy J8,HL1014,4
382,2016,Trim 1,janeiro,4,São Paulo,Inspiron 15,HL1007,2
698,2016,Trim 1,janeiro,4,São Paulo,Moto G7,HL1009,2
104,2016,Trim 1,janeiro,4,São Paulo,Smart TV 50' 4K,HL1001,1
400,2016,Trim 1,janeiro,4,São Paulo,Smart Watch Galaxy,HL1016,5
626,2016,Trim 1,janeiro,5,Belo Horizonte,Apple Watch,HL1004,4
151,2016,Trim 1,janeiro,5,Campinas,Câmera Digital Sony Cyber,HL1015,5
201,2016,Trim 1,janeiro,5,Campinas,Samsung Dual Core,HL1023,5
178,2016,Trim 1,janeiro,5,Curitiba,Câmera Digital Rebel T6,HL1005,4
533,2016,Trim 1,janeiro,5,Curitiba,Inspiron 15,HL1007,2
580,2016,Trim 1,janeiro,5,Fortaleza,Câmera Digital Sony Cyber,HL1015,2
171,2016,Trim 1,janeiro,5,Fortaleza,Galaxy S8,HL1021,1
177,2016,Trim 1,janeiro,5,Goiânia,Smart Watch MI,HL1018,5
230,2016,Trim 1,janeiro,5,Porto Alegre,Aspire 5,HL1024,2
525,2016,Trim 1,janeiro,5,Porto Alegre,Câmera Coolpix L340,HL1013,2
266,2016,Trim 1,janeiro,5,Porto Alegre,Inspiron 15,HL1007,4
253,2016,Trim 1,janeiro,5,Porto Alegre,Smart TV LED Full HD 55',HL1008,1
321,2016,Trim 1,janeiro,5,Recife,Inspiron 15,HL1007,3
448,2016,Trim 1,janeiro,5,Salvador,Câmera Digital Rebel T6,HL1005,2
541,2016,Trim 1,janeiro,5,São Paulo,Apple Watch,HL1004,1
541,2016,Trim 1,janeiro,5,São Paulo,Galaxy S8,HL1021,5
160,2016,Trim 1,janeiro,5,São Paulo,Inspiron 15,HL1007,2
725,2016,Trim 1,janeiro,5,São Paulo,Moto Z,HL1020,3
314,2016,Trim 1,janeiro,5,São Paulo,Smart TV 50' 4K,HL1001,2
391,2016,Trim 1,janeiro,6,Belo Horizonte,Galaxy S10,HL1003,2
422,2016,Trim 1,janeiro,6,Campinas,Câmera Digital Sony Cyber,HL1015,3
95,2016,Trim 1,janeiro,6,Curitiba,Moto Z,HL1020,4
535,2016,Trim 1,janeiro,6,Curitiba,Smart TV LED Full HD 55',HL1008,5
366,2016,Trim 1,janeiro,6,Fortaleza,Câmera Coolpix L340,HL1013,4
130,2016,Trim 1,janeiro,6,Fortaleza,iPhone XS,HL1019,1
796,2016,Trim 1,janeiro,6,Fortaleza,Smart TV 50' 4K,HL1001,5
703,2016,Trim 1,janeiro,6,Fortaleza,Smart Watch MI,HL1018,4
189,2016,Trim 1,janeiro,6,Porto Alegre,Smart TV LED Full HD 55',HL1008,4
398,2016,Trim 1,janeiro,6,Recife,Samsung Dual Core,HL1023,1
219,2016,Trim 1,janeiro,6,Recife,Smart TV 75' 4K,HL1017,1
370,2016,Trim 1,janeiro,6,Recife,Smart Watch MI,HL1018,2
407,2016,Trim 1,janeiro,6,Rio de Janeiro,Aspire 5,HL1024,5
331,2016,Trim 1,janeiro,6,Rio de Janeiro,Câmera Digital Rebel T6,HL1005,4
121,2016,Trim 1,janeiro,6,Rio de Janeiro,Moto G7,HL1009,5
198,2016,Trim 1,janeiro,6,Salvador,Dell G7,HL1012,1
261,2016,Trim 1,janeiro,6,São Paulo,Aspire 5,HL1024,3
608,2016,Trim 1,janeiro,6,São Paulo,Câmera Digital Sony Cyber,HL1015,3
145,2016,Trim 1,janeiro,6,São Paulo,iPhone XS,HL1019,4
748,2016,Trim 1,janeiro,6,São Paulo,Samsung Dual Core,HL1023,5
429,2016,Trim 1,janeiro,6,São Paulo,Smart TV LED Full HD 55',HL1008,3
186,2016,Trim 1,janeiro,7,Belo Horizonte,Inspiron 15,HL1007,3
590,2016,Trim 1,janeiro,7,Belo Horizonte,Smart TV 75' 4K,HL1017,4
59,2016,Trim 1,janeiro,7,Campinas,Smart TV LED Full HD 55',HL1008,5
262,2016,Trim 1,janeiro,7,Campinas,Smart Watch MI,HL1018,5
339,2016,Trim 1,janeiro,7,Curitiba,Câmera Digital Rebel T6,HL1005,6
715,2016,Trim 1,janeiro,7,Curitiba,Câmera Digital Sony Cyber,HL1015,5
637,2016,Trim 1,janeiro,7,Curitiba,Smart TV 50' 4K,HL1001,2
163,2016,Trim 1,janeiro,7,Fortaleza,Galaxy J8,HL1014,1
518,2016,Trim 1,janeiro,7,Goiânia,iPhone XS,HL1019,4
272,2016,Trim 1,janeiro,7,Guarulhos,Smart TV LED Full HD 55',HL1008,5
350,2016,Trim 1,janeiro,7,Niterói,Câmera Digital Rebel T6,HL1005,4
73,2016,Trim 1,janeiro,7,Niterói,Smart Watch MI,HL1018,3
711,2016,Trim 1,janeiro,7,Nova Iguaçu,Smart TV LED Full HD 55',HL1008,2
68,2016,Trim 1,janeiro,7,Porto Alegre,Moto G7,HL1009,3
39,2016,Trim 1,janeiro,7,Recife,Câmera Digital Sony Cyber,HL1015,3
39,2016,Trim 1,janeiro,7,Recife,Moto G7,HL1009,3
121,2016,Trim 1,janeiro,7,Rio de Janeiro,Aspire 5,HL1024,2
652,2016,Trim 1,janeiro,7,Rio de Janeiro,Câmera Digital Sony Cyber,HL1015,5
92,2016,Trim 1,janeiro,7,Rio de Janeiro,Smart Watch Galaxy,HL1016,4
692,2016,Trim 1,janeiro,7,Salvador,Smart TV 50' 4K,HL1001,3
593,2016,Trim 1,janeiro,7,Salvador,Smart Watch MI,HL1018,3
303,2016,Trim 1,janeiro,7,São Paulo,iPhone 7,HL1002,4
748,2016,Trim 1,janeiro,7,São Paulo,Moto G7,HL1009,1
641,2016,Trim 1,janeiro,7,São Paulo,Smart TV LED Full HD 55',HL1008,3
120,2016,Trim 1,janeiro,8,Campinas,Moto G7,HL1009,5
367,2016,Trim 1,janeiro,8,Curitiba,Câmera Digital Sony Cyber,HL1015,2
1345,2016,Trim 1,janeiro,8,Curitiba,Inspiron 15,HL1007,7
561,2016,Trim 1,janeiro,8,Guarulhos,iPhone 7,HL1002,2
115,2016,Trim 1,janeiro,8,Porto Alegre,Smart Watch Galaxy,HL1016,3
547,2016,Trim 1,janeiro,8,Recife,Galaxy S10,HL1003,3
814,2016,Trim 1,janeiro,8,Recife,Galaxy S8,HL1021,3
259,2016,Trim 1,janeiro,8,Rio de Janeiro,Smart TV 50' 4K,HL1001,4
804,2016,Trim 1,janeiro,8,Rio de Janeiro,Smart Watch MI,HL1018,1
303,2016,Trim 1,janeiro,8,São Paulo,iPhone 7,HL1002,1
145,2016,Trim 1,janeiro,8,São Paulo,Smart TV LED Full HD 55',HL1008,5
698,2016,Trim 1,janeiro,8,São Paulo,TV LED 32',HL1006,4
269,2016,Trim 1,janeiro,9,Fortaleza,Câmera Coolpix L340,HL1013,4
89,2016,Trim 1,janeiro,9,Goiânia,Moto G7,HL1009,2
291,2016,Trim 1,janeiro,9,Goiânia,Smart TV 50' 4K,HL1001,4
467,2016,Trim 1,janeiro,9,Guarulhos,Smart TV 50' 4K,HL1001,4
627,2016,Trim 1,janeiro,9,Nova Iguaçu,Câmera Digital Sony Cyber,HL1015,4
794,2016,Trim 1,janeiro,9,Porto Alegre,Smart TV 50' 4K,HL1001,5
27,2016,Trim 1,janeiro,9,Recife,Câmera Coolpix L340,HL1013,4
814,2016,Trim 1,janeiro,9,Recife,Câmera Digital Sony Cyber,HL1015,5
342,2016,Trim 1,janeiro,9,Recife,Smart TV 75' 4K,HL1017,1
694,2016,Trim 1,janeiro,9,Rio de Janeiro,Câmera Coolpix L340,HL1013,2
92,2016,Trim 1,janeiro,9,Rio de Janeiro,Câmera Digital Rebel T6,HL1005,1
148,2016,Trim 1,janeiro,9,Rio de Janeiro,Samsung Dual Core,HL1023,2
284,2016,Trim 1,janeiro,9,Rio de Janeiro,TV LED 32',HL1006,2
800,2016,Trim 1,janeiro,9,Salvador,Câmera Digital Sony Cyber,HL1015,1
761,2016,Trim 1,janeiro,9,Salvador,Smart Watch MI,HL1018,5
261,2016,Trim 1,janeiro,9,São Paulo,Dell G7,HL1012,1
224,2016,Trim 1,janeiro,9,São Paulo,Galaxy S8,HL1021,5
670,2016,Trim 1,janeiro,9,São Paulo,Smart TV 50' 4K,HL1001,2
104,2016,Trim 1,janeiro,9,São Paulo,Smart Watch MI,HL1018,5
683,2016,Trim 1,janeiro,9,São Paulo,TV LED 32',HL1006,4
423,2016,Trim 1,janeiro,10,Campinas,Smart TV 50' 4K,HL1001,5
703,2016,Trim 1,janeiro,10,Fortaleza,Inspiron 15,HL1007,4
171,2016,Trim 1,janeiro,10,Fortaleza,Moto Z,HL1020,3
167,2016,Trim 1,janeiro,10,Guarulhos,Câmera Coolpix L340,HL1013,5
135,2016,Trim 1,janeiro,10,Niterói,Câmera Digital Sony Cyber,HL1015,2
355,2016,Trim 1,janeiro,10,Nova Iguaçu,Câmera Coolpix L340,HL1013,2
297,2016,Trim 1,janeiro,10,Recife,Inspiron 15,HL1007,5
572,2016,Trim 1,janeiro,10,Rio de Janeiro,Câmera Digital Rebel T6,HL1005,4
331,2016,Trim 1,janeiro,10,Rio de Janeiro,Tablet M10 Android,HL1011,5
396,2016,Trim 1,janeiro,10,Salvador,Dell G7,HL1012,2
170,2016,Trim 1,janeiro,10,Salvador,iPhone XS,HL1019,3
104,2016,Trim 1,janeiro,10,São Paulo,Câmera Coolpix L340,HL1013,3
310,2016,Trim 1,janeiro,10,São Paulo,Câmera Digital Sony Cyber,HL1015,4
908,2016,Trim 1,janeiro,10,São Paulo,Inspiron 15,HL1007,6
224,2016,Trim 1,janeiro,10,São Paulo,iPhone 6S,HL1010,1
408,2016,Trim 1,janeiro,10,São Paulo,iPhone 7,HL1002,1
541,2016,Trim 1,janeiro,10,São Paulo,Moto G7,HL1009,2
540,2016,Trim 1,janeiro,10,São Paulo,Smart TV 50' 4K,HL1001,1
80,2016,Trim 1,janeiro,11,Belo Horizonte,Samsung Dual Core,HL1023,3
180,2016,Trim 1,janeiro,11,Belo Horizonte,Smart TV 50' 4K,HL1001,3
506,2016,Trim 1,janeiro,11,Belo Horizonte,Smart TV LED Full HD 55',HL1008,4
741,2016,Trim 1,janeiro,11,Curitiba,Galaxy S8,HL1021,2
780,2016,Trim 1,janeiro,11,Porto Alegre,Smart TV 50' 4K,HL1001,3
70,2016,Trim 1,janeiro,11,Recife,Câmera Digital Sony Cyber,HL1015,4
537,2016,Trim 1,janeiro,11,Rio de Janeiro,Câmera Coolpix L340,HL1013,3
52,2016,Trim 1,janeiro,11,Rio de Janeiro,Inspiron 15,HL1007,3
264,2016,Trim 1,janeiro,11,Salvador,Aspire 5,HL1024,3
482,2016,Trim 1,janeiro,11,Salvador,Câmera Coolpix L340,HL1013,2
675,2016,Trim 1,janeiro,11,Salvador,Câmera Digital Sony Cyber,HL1015,3
312,2016,Trim 1,janeiro,11,São Paulo,Apple Watch,HL1004,3
728,2016,Trim 1,janeiro,11,São Paulo,Câmera Digital Rebel T6,HL1005,2
709,2016,Trim 1,janeiro,11,São Paulo,Galaxy S8,HL1021,6
224,2016,Trim 1,janeiro,11,São Paulo,iPhone 7,HL1002,2
363,2016,Trim 1,janeiro,11,São Paulo,Moto Z,HL1020,6
312,2016,Trim 1,janeiro,11,São Paulo,Smart TV LED Full HD 55',HL1008,3
313,2016,Trim 1,janeiro,12,Belo Horizonte,Galaxy S8,HL1021,1
123,2016,Trim 1,janeiro,12,Belo Horizonte,Smart TV 50' 4K,HL1001,5
563,2016,Trim 1,janeiro,12,Campinas,Smart TV 50' 4K,HL1001,2
802,2016,Trim 1,janeiro,12,Fortaleza,Smart TV 50' 4K,HL1001,5
315,2016,Trim 1,janeiro,12,Goiânia,iPhone XS,HL1019,2
3,2016,Trim 1,janeiro,12,Rio de Janeiro,Galaxy S8,HL1021,4
99,2016,Trim 1,janeiro,12,Rio de Janeiro,Moto G7,HL1009,5
499,2016,Trim 1,janeiro,12,Rio de Janeiro,Smart TV LED Full HD 55',HL1008,5
156,2016,Trim 1,janeiro,12,Salvador,Câmera Coolpix L340,HL1013,2
448,2016,Trim 1,janeiro,12,Salvador,Samsung Dual Core,HL1023,2
209,2016,Trim 1,janeiro,12,São Paulo,Apple Watch,HL1004,2
261,2016,Trim 1,janeiro,12,São Paulo,iPhone 7,HL1002,1
105,2016,Trim 1,janeiro,12,São Paulo,Samsung Dual Core,HL1023,4
202,2016,Trim 1,janeiro,12,São Paulo,Smart TV LED Full HD 55',HL1008,3
770,2016,Trim 1,janeiro,13,Campinas,Galaxy S8,HL1021,2
412,2016,Trim 1,janeiro,13,Curitiba,Moto G7,HL1009,1
85,2016,Trim 1,janeiro,13,Curitiba,Smart TV 50' 4K,HL1001,2
609,2016,Trim 1,janeiro,13,Fortaleza,Câmera Digital Rebel T6,HL1005,4
609,2016,Trim 1,janeiro,13,Fortaleza,Galaxy S8,HL1021,2
861,2016,Trim 1,janeiro,13,Fortaleza,Smart TV LED Full HD 55',HL1008,8
147,2016,Trim 1,janeiro,13,Goiânia,Dell G7,HL1012,3
242,2016,Trim 1,janeiro,13,Guarulhos,Câmera Digital Sony Cyber,HL1015,3
236,2016,Trim 1,janeiro,13,Niterói,Galaxy S8,HL1021,3
360,2016,Trim 1,janeiro,13,Porto Alegre,Inspiron 15,HL1007,2
158,2016,Trim 1,janeiro,13,Recife,Câmera Digital Rebel T6,HL1005,1
32,2016,Trim 1,janeiro,13,Recife,Moto G7,HL1009,3
158,2016,Trim 1,janeiro,13,Recife,Smart TV 50' 4K,HL1001,1
625,2016,Trim 1,janeiro,13,Rio de Janeiro,Galaxy J8,HL1014,1
377,2016,Trim 1,janeiro,13,Rio de Janeiro,iPhone XS,HL1019,2
326,2016,Trim 1,janeiro,13,Rio de Janeiro,Moto G7,HL1009,4
534,2016,Trim 1,janeiro,13,Salvador,Câmera Digital Rebel T6,HL1005,5
156,2016,Trim 1,janeiro,13,Salvador,iPhone 7,HL1002,2
16,2016,Trim 1,janeiro,13,Salvador,Moto Z,HL1020,5
839,2016,Trim 1,janeiro,13,Salvador,Samsung Dual Core,HL1023,8
232,2016,Trim 1,janeiro,13,Salvador,Smart TV LED Full HD 55',HL1008,2
408,2016,Trim 1,janeiro,13,São Paulo,Aspire 5,HL1024,4
316,2016,Trim 1,janeiro,13,São Paulo,Smart Watch MI,HL1018,4
309,2016,Trim 1,janeiro,14,Campinas,Smart TV 50' 4K,HL1001,3
240,2016,Trim 1,janeiro,14,Curitiba,Samsung Dual Core,HL1023,1
501,2016,Trim 1,janeiro,14,Guarulhos,Aspire 5,HL1024,2
549,2016,Trim 1,janeiro,14,Niterói,Dell G7,HL1012,1
575,2016,Trim 1,janeiro,14,Nova Iguaçu,Smart TV 50' 4K,HL1001,1
70,2016,Trim 1,janeiro,14,Recife,Galaxy S10,HL1003,2
555,2016,Trim 1,janeiro,14,Recife,Galaxy S8,HL1021,4
254,2016,Trim 1,janeiro,14,Recife,iPhone 7,HL1002,2
195,2016,Trim 1,janeiro,14,Rio de Janeiro,Câmera Coolpix L340,HL1013,2
817,2016,Trim 1,janeiro,14,Rio de Janeiro,Câmera Digital Sony Cyber,HL1015,4
3,2016,Trim 1,janeiro,14,Rio de Janeiro,Galaxy S8,HL1021,1
29,2016,Trim 1,janeiro,14,Rio de Janeiro,iPhone 7,HL1002,1
448,2016,Trim 1,janeiro,14,Salvador,Aspire 5,HL1024,5
641,2016,Trim 1,janeiro,14,São Paulo,Câmera Digital Rebel T6,HL1005,2
369,2016,Trim 1,janeiro,14,São Paulo,Câmera Digital Sony Cyber,HL1015,4
57,2016,Trim 1,janeiro,14,São Paulo,iPhone 6S,HL1010,4
312,2016,Trim 1,janeiro,14,São Paulo,Smart TV 50' 4K,HL1001,2
55,2016,Trim 1,janeiro,14,São Paulo,Smart Watch MI,HL1018,3
456,2016,Trim 1,janeiro,15,Belo Horizonte,Galaxy S8,HL1021,5
86,2016,Trim 1,janeiro,15,Campinas,iPhone XS,HL1019,2
619,2016,Trim 1,janeiro,15,Curitiba,Moto G7,HL1009,2
22,2016,Trim 1,janeiro,15,Curitiba,Smart TV 50' 4K,HL1001,5
735,2016,Trim 1,janeiro,15,Fortaleza,Aspire 5,HL1024,1
697,2016,Trim 1,janeiro,15,Fortaleza,Câmera Digital Sony Cyber,HL1015,4
657,2016,Trim 1,janeiro,15,Fortaleza,Moto G7,HL1009,3
286,2016,Trim 1,janeiro,15,Fortaleza,Smart TV 50' 4K,HL1001,2
503,2016,Trim 1,janeiro,15,Fortaleza,Smart TV LED Full HD 55',HL1008,3
185,2016,Trim 1,janeiro,15,Guarulhos,Apple Watch,HL1004,3
41,2016,Trim 1,janeiro,15,Guarulhos,Galaxy J8,HL1014,3
809,2016,Trim 1,janeiro,15,Niterói,Câmera Digital Sony Cyber,HL1015,5
218,2016,Trim 1,janeiro,15,Porto Alegre,Galaxy S8,HL1021,5
407,2016,Trim 1,janeiro,15,Rio de Janeiro,Câmera Digital Rebel T6,HL1005,3
405,2016,Trim 1,janeiro,15,Rio de Janeiro,iPad 32GB Wifi,HL1022,5
652,2016,Trim 1,janeiro,15,Rio de Janeiro,iPhone 6S,HL1010,2
44,2016,Trim 1,janeiro,15,Rio de Janeiro,Moto G7,HL1009,5
712,2016,Trim 1,janeiro,15,Salvador,Inspiron 15,HL1007,5
82,2016,Trim 1,janeiro,15,Salvador,Samsung Dual Core,HL1023,4
692,2016,Trim 1,janeiro,15,Salvador,Smart TV 50' 4K,HL1001,4
776,2016,Trim 1,janeiro,15,São Paulo,Câmera Coolpix L340,HL1013,2
1019,2016,Trim 1,janeiro,15,São Paulo,Câmera Digital Sony Cyber,HL1015,8
49,2016,Trim 1,janeiro,15,São Paulo,Moto G7,HL1009,5
261,2016,Trim 1,janeiro,15,São Paulo,Smart TV 50' 4K,HL1001,1
421,2016,Trim 1,janeiro,16,Belo Horizonte,Smart TV 50' 4K,HL1001,3
36,2016,Trim 1,janeiro,16,Campinas,Moto Z,HL1020,3
565,2016,Trim 1,janeiro,16,Fortaleza,Moto G7,HL1009,1
351,2016,Trim 1,janeiro,16,Goiânia,Galaxy S10,HL1003,1
816,2016,Trim 1,janeiro,16,Porto Alegre,Smart Watch MI,HL1018,2
672,2016,Trim 1,janeiro,16,Recife,Câmera Digital Sony Cyber,HL1015,1
1327,2016,Trim 1,janeiro,16,Recife,Moto G7,HL1009,6
804,2016,Trim 1,janeiro,16,Rio de Janeiro,Câmera Digital Rebel T6,HL1005,3
195,2016,Trim 1,janeiro,16,Rio de Janeiro,Smart TV 50' 4K,HL1001,2
285,2016,Trim 1,janeiro,16,Salvador,Moto G7,HL1009,4
761,2016,Trim 1,janeiro,16,Salvador,Moto Z,HL1020,1
482,2016,Trim 1,janeiro,16,Salvador,Smart Watch Galaxy,HL1016,4
319,2016,Trim 1,janeiro,16,São Paulo,Câmera Coolpix L340,HL1013,1
224,2016,Trim 1,janeiro,16,São Paulo,Câmera Digital Rebel T6,HL1005,2
641,2016,Trim 1,janeiro,16,São Paulo,Inspiron 15,HL1007,3
105,2016,Trim 1,janeiro,16,São Paulo,Moto G7,HL1009,1
111,2016,Trim 1,janeiro,16,São Paulo,Smart TV 50' 4K,HL1001,1
508,2016,Trim 1,janeiro,17,Belo Horizonte,Câmera Digital Rebel T6,HL1005,2
154,2016,Trim 1,janeiro,17,Belo Horizonte,Câmera Digital Sony Cyber,HL1015,1
